image_name,crok_name,ability_name,ability_text,power,intelligence,reflex,id,tribe
001.jpg,Master Crok,Váratlan csapás,"Kicserélheted egy másik, a kezedben levő Crokra, ha az nem Master Crok.",8,7,9,1/21,master
002.jpg,Bond Crok,Trükkös fordulat,"Megváltoztathatod a harc típusát: erő, intelligencia vagy reflex.",5,6,7,2/21,gun
003.jpg,Devil Crok,Lélekrablás,"Használhatja egy másik játékos, egyik vesztes Crokjának képességét.",6,6,6,3/21,hell
004.jpg,Samurai Crok,Első vágás,Azonnal hatástalanítja az ellenfelek képességeit.,6,4,8,4/21,yingyang
005.jpg,Angel Crok,Feltámasztás,Visszaveheted a kezedbe egy vesztes Crokodat.,3,4,7,5/21,heaven
006.jpg,Captain Crok,Nagy ütközet,"Ütközetet indíthatsz: mindenki kiteszi paklijának legfelső Crokját, aki csatlakozik a harcolókhoz. Az értékek összege számít.",5,6,3,6/21,compass
007.jpg,Executor Crok,Nincs kegyelem,A kiszemelt másik játékos választ és lerak egy lapot a vesztes Crokjaihoz.,7,4,3,7/21,hell
008.jpg,Jungle Crok,Dzsungelharc,"Kicserélheted a paklid legfelső Crokjára, anélkül, hogy megnéznéd, hogy melyik az a lap.",6,3,5,8/21,knife
009.jpg,Sensei Crok,Tanítás ereje,A következő harcban Crokjaid minden értéke eggyel megnő.,2,9,3,9/21,yingyang
010.jpg,Sumo Crok,Lehengerlés,"Kettővel nő az ereje, ha intelligensebb, mint az ellenfelei.",8,5,1,10/21,cup
011.jpg,Pancrator Crok,Tömegverekedés,"Ha veszít, akkor a következő harc vakharccal indul, te választod meg a típusát.",9,2,3,11/21,fast
012.jpg,Army Crok,Sorozatlövés,"Az értékei annyival megnőnek, ahány ellenfele van. A kicserélt Crokok is újabb ellenfélnek számítanak.",3,4,4,12/21,knife
013.jpg,Boy Crok,Pimasz csínytevés,A következő körben te támadsz. Védekezéskor +2 reflex.,1,4,6,13/21,flower
014.jpg,Cave Crok,Dühöngés,"Annyival megnőnek az értékei, amennyivel kevesebb a nyertes lapod, mint a kiválasztott ellenfelednek.",7,1,3,14/21,fast
015.jpg,Funny Crok,Van másik !,Egy másik játékos Crokját kicseréltetheted paklijának legalsó lapjára.,1,6,4,15/21,flower
016.jpg,Gladiator Crok,Pajzsharc,A harc típusát erőre változtathatod.,5,1,5,16/21,compass
017.jpg,Indian Crok,Felderítés,Átnézheted a paklid felső 6 Crokját és megváltoztathatod a sorrendjüket.,3,5,3,17/21,western
018.jpg,Karate Crok,Tigriskarom,"Ha a vesztesek közé raksz egy Crokot a kezedből, akkor annak erejét használhatod a harcban.",2,3,6,18/21,cup
019.jpg,Police Crok,Letartóztatás,"Nyer, ha a vesztesek közé dobod a kezedből bármelyik másik játékos Crokjának mását.",4,3,4,19/21,gun
020.jpg,Priest Crok,Ima,"Azonnal hatástalanítja a tűz Crokok képességeit, vagy húzhatsz egy lapot.",2,7,2,20/21,heaven
021.jpg,Sheriff Crok,Pisztolypárbaj,"Nyer, ha az aktuális eredmény döntetlen.",3,3,5,21/21,western
022.jpg,Master Crok,Hirtelen segítség,"Kicserélheted egy másik, a paklidban levő Crokra, ha az nem Master Crok.",9,8,7,22/42,master
023.jpg,Cyber Crok,Átalakulás,"Ha a Cyber már nyertes, és a harcoló Crokod még nem használta a képességét, akkor egy alkalommal kicserélheted őt a harcoló Crokodra.",8,4,6,23/42,knife
024.jpg,Dracula Crok,Vérszívás,"Ha nyer, akkor a kiválasztott játékos egy nyertes Crokját a vesztesek közé rakja.",6,5,7,24/42,hell
025.jpg,Dragon Crok,Sárkánylehelet,"A vesztesek közé kerülnek mindazok a harcoló Crokok, akiknek kisebb a reflexe, mint a Dragonnak.",9,5,4,25/42,compass
026.jpg,Barbar Crok,Majd a hideg acél!,"Semlegesítheted a képességét egy olyan Croknak, akinél nagyobb a reflexed.",8,1,5,26/42,compass
027.jpg,Boxer Crok,K.O.,"Nyer, ha az erejének és a reflexének összege nagyobb, mint az ellenfeleié.",5,3,6,27/42,cup
028.jpg,Gangster Crok,Leszámolás,"Az ellenfelek értékei annyival csökkennek, amennyivel kevesebb lap van a te kezedben, mint a kiválasztott játékosnál.",5,4,5,28/42,gun
029.jpg,General Crok,Titkos akció,"Ha a következő harcot megnyered, akkor az egyik vesztes Crokodat kicserélheted az egyik nyertesedre.",4,7,3,29/42,knife
030.jpg,Knight Crok,Szent védelem,"Az értékei annyival megnőnek, ahány vesztes Crokod van.",7,3,4,30/42,heaven
031.jpg,Prof Crok,Találmány,"Ha nyer, akkor a következő körben két Crokot küldhetsz harcba. Az egyiknek az értékét, a másiknak a képességét használhatod.",3,7,4,31/42,flower
032.jpg,Rodeo Crok,Őrült vágta,"Azok a Crokok, akiknek kisebb a reflexe, csak úgy tudják használni a képességüket, ha kettővel csökkentik minden értéküket.",4,2,8,32/42,western
033.jpg,Amor Crok,Vak szerelem,"Ha kiválasztasz két olyan Crokot, akiknek egyik értéke megegyezik, akkor mindkettő a vesztesek közé kerül.",2,3,6,33/42,flower
034.jpg,Bandit Crok,Bankrablás,"A kiszemelt másik játékos vagy a vesztesek közé rakja egy nyertes Crokját, vagy a Bandita értékei megnőnek a nyertesei számával.",5,3,3,34/42,western
035.jpg,Holy Crok,Isteni áldás,"Az épp harcoló Croknak kettővel megnöveli egy értékét, ha a Holy Crokot a kezedből a vesztesek közé teszed.",1,5,5,35/42,heaven
036.jpg,Judo Crok,Átdobás,"Megnövelheted az egyik értékedet a kiválasztott ellenfeled legkisebb értékével, ha az már használta a képességét.",4,4,3,36/42,cup
037.jpg,Monster Crok,Hideg rémület,"Minden más, nem Monster Crok értéke eggyel csökken. A következő harcban a Monster Crokjaid értékei kettővel megnőnek.",6,1,4,37/42,hell
